state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Jammu and Kashmir,2,"Vill. Tanda Dera Baba Bahadur Singh, The. Reasi, Distt. Udhampur-","Vice-Chancellor, S.K.University of Agricultural Sciences and Technology, Jammu-180012",2005,SAU
Jammu and Kashmir,3,"Putshee, Distt. Bandipora-193 502","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",2005,SAU
Jammu and Kashmir,4,"Gushee, Distt. Kupwara-193 222","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",2005,SAU
Jammu and Kashmir,5,"Pombay, Distt. Kulgam","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",2005,SAU
Jammu and Kashmir,6,"Regional Research Station, VPO. Tandwal, Distt. Rajouri-185 131","Vice-Chancellor, S.K.University of Agricultural Sciences and Technology, Jammu-180012",2002,SAU
Jammu and Kashmir,7,"Gwari, Bhaderwah, Distt. Doda-182 221","Vice-Chancellor, S.K.University of Agricultural Sciences and Technology, Jammu-180012",2002,SAU
Jammu and Kashmir,8,"Shuhama, P.Box No.1277,GPO, Distt. Ganderbal -190 001","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",2002,SAU
Jammu and Kashmir,9,"Old Airport, P.Box No.91, GPO Srinagar Distt. Srinagar-191 111","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",2002,SAU
Jammu and Kashmir,10,"Kalibari, Distt. Kathua-184104","Secretary, Shiv Gramodyog Mandal, Kathua",1993,SAU
Jammu and Kashmir,11,"R.S. Pura, Distt. Jammu-181102","Vice-Chancellor, S.K.University of Agricultural Sciences and Technology, Jammu-180012",1992,SAU
Jammu and Kashmir,12,"Malangpura, PB. No. 1228,GPO Srinagar Distt. Pulwama-190 001","Vice-Chancellor, S.K. University of Agril. Sciences & Technology, Jammu-180012",1983,SAU
Jammu and Kashmir,13,"Vill. Balpora, Shopian Distt","The Vice Chancellor, Sher-e-Kashmir University of Agricultural Science  & Technology,Shalimar Campus, Srinagar – 191 121	27/03/2012 SAU 14 Krishi Vigyan Kendra Vill.- Kreri & Nowpora, ATehsil- Dooru, Distt. – Anantnag The Vice Chancellor, Sher-e-Kashmir University of Agricultural Science & Technolog",27/03/2012,SAU
Jammu and Kashmir,5,"06.2013 SAU 16  Vill.-Hardubani, Lalpura, Mangloora under Tangmarg Tehsil, Baramulla District Distt. (Jammu and Kashmir).","Director, Central Institute of Temperate Horticuslture, K D Farm, Old Air Field, Post Office: Rangreth, Srinagar -190 007 (J&K) ICAR",22/11/2013,SAU
Jammu and Kashmir,17,"Pulse Research Sub-station, Arazi, Samba & Advance Centre for Rainfed, Agriculture,Dhiansar. Samba Distt. Of Jammu & Kashmir.","Vice Chancellor, Sere-e-Kashmir University of Agricultural Sciences & Technology of Chatha, Jammu (J&K)-180 009",25/11/2016,SAU
Jammu and Kashmir,18,"Dawar,Gurez Tehsil , Bandipor Distt. Of Jammu & Kashmir.","Vice Chancellor, Sere-e-Kashmir University of Agricultural Sciences & Technology of Chatha, Srinagar (J&K)-190025 Ladakh (UT) 1 Krishi Vigyan Kendra, SKUAST (K), P.Box No.146, Choglam Road, Housing Colony, Distt. Leh, (J&K) University of Ladakh 1994 SU 2 Krishi Vigyan Kendra, SKUAST (K), Distt. Karg",19/03/2021,SAU
Jammu and Kashmir,5,"06.2013 SU 4  Village Padam, Tehsil Zanskar, Distt. Kargil, (Jammu & Kashmir) University of Ladakh",,2013,SU
Punjab,1,"Opp. DIPS School Nakodar Road, Noor Mahal, Distt. Jalandhar-144039","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2006,SAU
Punjab,3,"VPO. Budh Singh Wala, Distt. Moga-142 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2005,SAU
Punjab,4,"PAU RRS, Haveli Kalan, Ropar Distt. Roopnagar-140001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2004,SAU
Punjab,5,"Samrala, Distt. Ludhiana-141 114","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2004,SAU
Punjab,6,"Usman, Dist Amritsar-143 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2004,SAU
Punjab,7,"Goneana, Distt. Muktsar-152 026","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2004,SAU
Punjab,8,"Shamsher Nagar, Sirhind, Distt. Fatehgarh Sahib-","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",2004,SAU
Punjab,9,"PAU Regional Research Station, Distt. Faridkot-151 203","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1995,SAU
Punjab,10,"Kheri, Distt. Sangrur-148 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1995,SAU
Punjab,11,"VPO Langroya, Distt. Nawanshahar-144 516","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1995,SAU
Punjab,12,"Dabwali Road, Near Kheti Bhawan, Distt. Bathinda-151 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1992,SAU
Punjab,13,"Post Box No.22, Distt. Patiala-147 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1992,SAU
Punjab,14,"Mallewal Road, Distt. Ferozepur-152 001","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1990,SAU
Punjab,15,"Vill. Bahowal, PO. Mahilpur, Distt. Hoshiarpur-146 105","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1990,SAU
Punjab,16,"J.J. Farm, Near New Grain Market, Sultanpur Road, PO. Sheikhupur, Distt. Kapurthala-144 620","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1990,SAU
Punjab,17,"PAU Research Station, Distt. Gurdaspur-143 521","Vice-Chancellor, Punjab Agricultural University, Ludhiana-141 004",1982,SAU
Punjab,18,"Majra, Sahibzada Ajit Singh Nagar, Mohali","Vice-Chancellor, Guru Angad Dev Veterinary & Animal Sciences University, Ferozepur Road, Ludhiana-141 004	26.12.2011 $",26.12.2011,SAU
Punjab,19,"Panchayat Booh, Tarn Taran","Vice-Chancellor, Guru Angad Dev Veterinary & Animal Sciences University, Ferozepur Road, Ludhiana-141 004	26.12.2011 $",26.12.2011,SAU
Punjab,20,"Handitya, Barnala District","Vice Chancellor Guru Angad Dev Veterinary & Animal Sciences University, Ferozpur Road, Ludhiana-141 004",,
Punjab,21,"District Fazilka, (Punjab)","Director CIPHET, Abohar, Punjab",,
Uttarakhand,1,Distt. Bagheshwar-,"Director, Vivekananda Parvatiya Krishi Anusandhan Sansthan, ICAR, Almora",2007,ICAR
Uttarakhand,2,"Jeolikote, Distt. Nainital-263135","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,3,"Gwaldam, Distt. Chamoli-246441","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
